1,2,3,4
18.64536766,9.158401909,26.73479586,10.11225969
22.03223404,9.625420052,26.64997417,10.70063513
21.73690755,10.54973961,22.90847716,9.689245639
17.83394949,10.40156154,23.38346037,9.950622584
26.16880088,11.22943342,25.42760018,10.46082942
23.86879439,9.013171402,27.2709964,9.291559864
27.39096801,9.883026388,28.72298806,8.873658327
21.40586277,8.87577269,25.94938078,8.480352597
21.69950084,9.925217342,19.96744837,10.06454492
21.87228261,10.54679006,20.99240442,8.459395306
19.54396879,10.70353643,22.81069494,9.023196783
24.0326554,10.7120993,25.54461321,9.821430079
24.76169295,10.83509032,23.65713176,10.81868726
23.0583731,10.41321514,21.94336017,10.395182
20.41168151,9.32355026,24.53267201,12.11225236
23.21393765,10.60288532,26.38093776,11.34740712
26.53931143,9.137917945,23.47183843,10.33302855
19.91204775,9.651798732,24.84776036,11.54075422
23.34109488,10.66632154,21.84156059,10.37597468
22.89564562,11.05516779,29.62205902,9.787836859
23.38027316,10.20436049,24.73392332,8.627215453
18.90608339,8.867334186,22.66277886,9.184857185
18.3055343,11.6443882,24.63530197,9.492089694
21.60967729,9.750195781,24.30342275,8.816864944
17.74113094,10.6625841,23.99890458,11.28811958
20.41321279,11.00155028,29.15501111,9.654470005
20.41944179,10.46183047,27.20350722,10.70170031
25.36925847,9.166279207,27.64231143,10.62826415
22.28957005,9.700405562,28.13795733,12.17484019
20.19537797,11.3583169,27.0924063,9.420497476
21.76138443,10.31965253,26.08085603,10.05128933
22.19475466,8.769988543,22.88825319,10.60173991
18.45945187,8.857414351,24.22326197,9.650130193
24.37988292,10.97710343,30.08339853,11.13636309
21.80447544,12.31477815,23.78890175,10.44124397
19.86408755,10.71741696,27.31823359,10.12650124
22.55399359,9.799825009,27.283149,9.610529949
23.24183271,10.06451867,23.21742957,10.52899499
20.79912412,11.29787768,26.68647732,10.38611524
19.23272248,11.03944607,25.3718255,10.25253094
24.49206461,10.94408286,25.44660005,9.660499729
21.24040437,9.350654359,26.74779915,8.711048967
18.64105821,10.04539909,25.50697341,10.8178242
21.11149844,9.88035241,24.24739506,9.197363196
23.39276118,8.300200933,24.70343733,10.98600306
19.32247952,9.060884084,27.92568232,10.57507644
25.83563204,10.09666307,24.91868327,10.0259516
22.05902044,9.550782649,31.54712873,9.681892035
25.91313655,9.700619288,26.43994458,7.750117302
22.06686586,9.242560875,25.50570527,11.30775891
21.84094407,9.389704243,22.03220619,9.532852431
19.55548464,9.858609049,26.35074337,10.58431261
18.2448455,9.93002729,24.8653097,9.108089267
19.1618378,10.00635879,29.2016279,8.552936974
19.81761576,10.51808934,22.41180376,8.588487438
21.16405976,10.58105425,27.91332695,9.591132277
17.85801518,9.953919417,31.99752984,10.13904494
23.75450788,9.632623333,31.0509717,8.969180053
23.09826496,9.68091892,24.75594627,12.73192123
21.03911656,9.754641635,24.82411758,9.683140952
23.8195151,10.07325464,22.54539309,10.25080394
23.87270493,10.19548235,23.396858,9.768779271
21.98951794,10.72678157,25.2343213,11.45653615
20.78983935,10.32289975,26.39878894,10.04310561
18.60066092,8.848510276,23.50363226,9.869598366
20.8663537,10.3954895,23.80255512,11.58406368
22.96919712,10.39397519,23.4330415,11.02348586
21.66923201,9.926227852,23.21422295,10.06827527
20.23290707,11.26521652,27.52157352,9.327222381
26.01941554,8.139828866,22.9229636,9.201480719
22.31091216,10.7791481,25.42156944,10.2644141
21.24848371,7.921511887,28.47411179,10.12421603
23.47863702,10.19052022,25.05703328,9.653196093
24.07452275,10.46172631,24.77310058,11.36578818
22.46007358,8.630309513,23.70510168,9.578086245
24.68045689,10.57263216,20.38495334,9.868027173
20.6084278,10.56749512,26.66062345,8.532587266
23.56424624,10.4749809,22.82994955,9.216507588
23.09501716,8.247652457,28.03448946,9.250920758
21.3012664,9.021293578,25.11404691,9.623531594
21.43953947,9.851191628,23.59931821,10.34957508
21.71194531,8.172899366,22.34437774,8.794628228
23.46275123,9.002175628,27.62101584,10.77018134
22.05107333,10.38203704,23.17194372,8.665462225
22.87823538,10.96915409,22.59561763,9.592717106
19.93853097,11.12991983,28.61823121,10.30360072
22.20255078,10.30345593,22.87009039,11.24323356
25.10089469,8.393466372,25.79231734,8.469159299
20.15356424,9.27358761,28.26003631,8.477013058
21.29263595,12.53473212,24.24468996,11.89608481
21.21404895,11.26027303,24.74505665,8.091241906
19.83911379,10.74340133,26.07791978,9.853158021
25.21050458,8.983700373,26.54187777,8.51430405
19.36198785,9.884190508,24.9190552,10.11018422
25.77828044,9.281413837,24.96339753,9.089778374
23.82051872,11.091908,23.82639342,12.17959372
20.26786226,8.976766336,28.87601385,12.16003811
18.81888778,9.067853523,25.38962822,10.83664298
20.30744823,11.23735887,26.66382344,9.116899967
17.82368853,10.25020394,27.81800054,10.89823303
